country,latitude,longitude,magnitude,positive,negative,pos/(pos+neg),Most negative title
Somaliland,9.55,44.05,44.90137362637363,15,76,0.16483516483516483,Somaliland’s herders devastated by drought
Western Sahara,27.153611,-13.203333,53.88717948717949,23,55,0.2948717948717949,Palestinians angrily denounce Moroccan 'betrayal' over Israel move
Algeria,36.75,3.05,53.86018518518518,15,39,0.2777777777777778,Algeria trial over French mountaineer's murder postponed
Angola,-8.833333333,13.216667,49.809166666666655,5,25,0.16666666666666666,"Pfizer, IDA Foundation partner to expand cancer treatments"
Benin,6.483333333,2.616667,50.76727272727273,4,18,0.18181818181818182,Philippines approves Pfizer-BioNTech vaccine for emergency use
Botswana,-24.63333333,25.9,49.779,11,29,0.275,South Africa forced to overhaul vaccine plan over variant fears
Burkina Faso,12.36666667,-1.516667,51.629468085106375,14,33,0.2978723404255319,EU regulator: Hackers 'manipulated' stolen vaccine documents
Burundi,-3.366666667,29.35,49.546190476190475,4,17,0.19047619047619047,DR Congo army says Burundi rebels forced from strongholds
Cameroon,3.866666667,11.516667,44.90472222222222,18,54,0.25,UNICEF condemns terrorist suicide attack in Cameroon
Cape Verde,14.91666667,-23.516667,48.78140625,7,25,0.21875,COVID-19 vaccine: WHO denies disqualifying Nigeria
Central African Republic,4.366666667,18.583333,46.98777777777777,11,34,0.24444444444444444,Central African Republic declares state of emergency to combat rebels
Chad,12.1,15.033333,53.66657534246575,21,52,0.2876712328767123,Allergy warning for Pfizer/BioNTech vaccine after UK health workers with allergy history suffer reaction
Comoros,-11.7,43.233333,55.057500000000005,1,1,0.5,Pfizer Stock: A Top Bet for 2021?
Democratic Republic of the Congo,-4.316666667,15.3,50.33948717948717,13,26,0.3333333333333333,FBI warns of COVID-19 vaccine scams
Republic of Congo,-4.25,15.283333,53.45,3,8,0.2727272727272727,Asian American Attacks: Asian and Black Communities Unite in Wake of Vicious Attacks
Cote d'Ivoire,6.816666667,-5.266667,51.4304347826087,5,18,0.21739130434782608,Philippines Approves Pfizer-BioNTech COVID-19 Vaccine for Emergency Use
Djibouti,11.58333333,43.15,55.682,5,10,0.3333333333333333,Coronavirus Vaccine Hopes are High With 'Pfizer' But Twitter is Trying to Learn its Pronunciation
Egypt,30.05,31.25,54.508133333333326,22,53,0.29333333333333333,FDA authorizes Pfizer/BioNTech COVID-19 vaccine for emergency use
Equatorial Guinea,3.75,8.783333,52.566562499999996,5,11,0.3125,"African countries scramble to bury virus dead, get vaccines"
Eritrea,15.33333333,38.933333,38.46472222222223,2,16,0.1111111111111111,'Choose — I kill you or rape you': abuse accusations surge in Ethiopia's war
Ethiopia,9.033333333,38.7,53.92629032258062,22,40,0.3548387096774194,Uganda chafes at EU criticism over Museveni re-election
Gabon,0.383333333,9.45,43.82333333333333,1,5,0.16666666666666666,I.Coast fears Covid 'explosion' as deaths surge
The Gambia,13.45,-16.566667,40.285555555555554,0,9,0.0,Pandemic takes a toll on exhausted U.K. funeral directors
Ghana,5.55,-0.216667,48.68939024390245,8,33,0.1951219512195122,"COVID Vaccines Open Door for Cancer Treatments, Others"
Guinea,9.5,-13.7,50.80805555555554,21,51,0.2916666666666667,Letter criticising coronavirus vaccine prompts IPSO complaint
Guinea-Bissau,11.85,-15.583333,50.82785714285715,2,5,0.2857142857142857,Senegalese army seizes cannabis fields and rebel forest bases
Kenya,-1.283333333,36.816667,56.0856779661017,24,35,0.4067796610169492,Kagwe doubts Pfizer Covid-19 vaccine
Lesotho,-29.31666667,27.483333,48.29636363636364,3,8,0.2727272727272727,Getting migrants vaccinated is critical
Liberia,6.3,-10.8,52.658076923076926,2,11,0.15384615384615385,Liberian rebel commander accused of cannibalism goes on trial in Switzerland
Libya,32.88333333,13.166667,48.15638461538461,16,49,0.24615384615384617,Couple's suicide raises fears of alarming Turkish poverty
Madagascar,-18.91666667,47.516667,48.893823529411776,4,13,0.23529411764705882,Tanzania's President Rejected Coronavirus Reality. Now He Rejects Vaccines.
