country,latitude,longitude,magnitude,positive,negative,pos/(pos+neg),Most negative title
Somaliland,9.55,44.05,49.25767381174295,1367,3998,0.2547996272134203,UNICEF condemns terrorist suicide attack in Cameroon
Western Sahara,27.153611,-13.203333,54.059672131147536,17,44,0.2786885245901639,Hidden immune weakness found in 14% of gravely ill COVID-19 patients
Algeria,36.75,3.05,49.00053571428572,4,24,0.14285714285714285,Piecemeal data releases threaten to undermine Sinovac's COVID-19 vaccine
Angola,-8.833333333,13.216667,45.59520833333334,4,20,0.16666666666666666,"Angola: Country reports 247 new coronavirus cases, one more death"
Benin,6.483333333,2.616667,47.667500000000004,3,17,0.15,"U.S. states plow ahead with reopening; Trump warns death toll could hit 100,000"
Botswana,-24.63333333,25.9,46.40233333333334,1,14,0.06666666666666667,Drug shown to reduce risk of death for hospitalized Covid-19 patients
Burkina Faso,12.36666667,-1.516667,34.99269230769231,1,12,0.07692307692307693,Turkey condemns Burkina Faso terror attack
Burundi,-3.366666667,29.35,45.4525,0,8,0.0,Burundi Walks Tightrope Between Virus and Violence With Vote
Cameroon,3.866666667,11.516667,40.591874999999995,3,21,0.125,Cameroon-Nigeria border: 12 killed in suicide attack
Cape Verde,14.91666667,-23.516667,52.35368421052632,8,11,0.42105263157894735,"WHO tackles new virus strains, fresh restrictions imposed"
Central African Republic,4.366666667,18.583333,46.781956521739126,4,19,0.17391304347826086,China is hitting back at criticism of its vaccines with a dangerous disinformation campaign
Chad,12.1,15.033333,51.18342105263158,6,13,0.3157894736842105,AllianceBernstein: 4Q Earnings Snapshot
Comoros,-11.7,43.233333,51.05416666666667,3,3,0.5,World unites in grief as Ethiopian Airlines crash kills 157
Democratic Republic of the Congo,-4.316666667,15.3,40.49,1,14,0.06666666666666667,DR Congo activists fight misinformation around COVID-19
Republic of Congo,-4.25,15.283333,56.25,1,1,0.5,COVID-19 vaccine country readiness and delivery
Cote d'Ivoire,6.816666667,-5.266667,47.795263157894745,6,13,0.3157894736842105,Israel PM Benjamin Netanyahu Accused of Exploiting Virus Crisis
Djibouti,11.58333333,43.15,52.27681818181818,6,16,0.2727272727272727,New humanitarian crisis as thousands flee Ethiopia war
Egypt,30.05,31.25,53.98095238095238,19,44,0.30158730158730157,China’s Covid-19 Vaccine Makers Struggle to Meet Demand
Equatorial Guinea,3.75,8.783333,51.515625,3,13,0.1875,Why is China lagging behind in COVID-19 vaccinations?
Eritrea,15.33333333,38.933333,44.35181818181818,2,9,0.18181818181818182,'Maximum pressure' on China is no solution to a pandemic
Ethiopia,9.033333333,38.7,50.62144736842105,14,24,0.3684210526315789,Why ‘equal access’ to coronavirus vaccines is failing poor countries
Gabon,0.383333333,9.45,0.0,0,0,50.0,N/A
The Gambia,13.45,-16.566667,50.0,0,3,0.0,Coronavirus: What's happening around the world Sept. 9
Ghana,5.55,-0.216667,57.87533333333333,6,9,0.4,China takes risk in rushing to use unproven vaccines
Guinea,9.5,-13.7,52.38034482758621,15,43,0.25862068965517243,"Brazil suspends trials of China's Sinovac coronavirus vaccine, citing 'adverse, serious event'"
Guinea-Bissau,11.85,-15.583333,58.760000000000005,3,2,0.6,Guinea-Bissau: Most political parties in parliament see no reason to dissolve it
Kenya,-1.283333333,36.816667,48.508,8,27,0.22857142857142856,183 new COVID-19 Cases recorded in Kenya as 5 more dead
Lesotho,-29.31666667,27.483333,42.145500000000006,3,17,0.15,"One killed, five wounded in new Johannesburg violence"
Liberia,6.3,-10.8,53.185909090909085,4,7,0.36363636363636365,"UK death toll rises by a record 1,610"
Libya,32.88333333,13.166667,46.97,6,25,0.1935483870967742,More coronavirus cases in Libya as fighting rages
Madagascar,-18.91666667,47.516667,44.9609375,3,13,0.1875,Protests erupt in Madagascar over alleged police violence
Malawi,-13.96666667,33.783333,48.87586956521739,3,20,0.13043478260869565,Malawi protests: Opposition demands president’s resignation
Mali,12.65,-8,35.66714285714286,4,17,0.19047619047619047,Dozens killed in attacks in central Mali
Mauritania,18.06666667,-15.966667,40.019,0,5,0.0,Mauritania blogger once given death penalty for ‘blasphemy’ freed
Mauritius,-20.15,57.483333,51.094523809523814,5,16,0.23809523809523808,"China upset over Modi govt’s vaccine diplomacy, blames India after Bangladesh rejects their vaccine"
Morocco,34.01666667,-6.816667,51.012241379310346,7,22,0.2413793103448276,"Africa To Bank On China's Leadership Amid Vaccine Greed, Chaos"
Mozambique,-25.95,32.583333,43.235499999999995,2,8,0.2,Mozambique defense forces kill 37 terrorists in northern region
Namibia,-22.56666667,17.083333,56.93863636363637,10,12,0.45454545454545453,Botswana overturns ban on elephant hunting
Niger,13.51666667,2.116667,38.56894736842106,3,16,0.15789473684210525,10 civilians killed in suspected Boko Haram attack in Niger town
Nigeria,9.083333333,7.533333,55.48413043478261,7,16,0.30434782608695654,"Paul Flores, Person Of Interest In Disappearance Of Kristin Smart, Arrested On Weapons Charge"
Rwanda,-1.95,30.05,60.00083333333333,4,2,0.6666666666666666,"World surpasses 20 million coronavirus cases, WHO warns against despair"
Saint Helena,-15.93333333,-5.716667,56.399230769230776,4,9,0.3076923076923077,"Yuan eases on soft inflation data, Sino-U.S. tensions"
Sao Tome and Principe,0.333333333,6.733333,71.075,1,0,1.0,Dolly puts his faith in double Bafana victory over Sao Tome and Principe
Senegal,14.73333333,-17.633333,54.64068181818181,6,16,0.2727272727272727,Alarm after Senegal's 'best student' goes missing in France
Seychelles,-4.616666667,55.45,48.524411764705874,3,14,0.17647058823529413,'Terrorist sympathizer': Trump accused of igniting MAGA mob as Dems close trial
Sierra Leone,8.483333333,-13.233333,47.54562500000001,2,6,0.25,Sierra Leone: Illegal mining blamed for environmental disasters
Somalia,2.066666667,45.333333,56.1025,6,8,0.42857142857142855,Somalia in crisis after president's term expired before new vote
South Africa,-25.7,28.216667,54.066140350877184,22,35,0.38596491228070173,"COVID-19 Vaccine Program Hiccups, Misses and Disasters"
South Sudan,4.85,31.616667,48.043125,2,14,0.125,The Latest: Africa CDC says fatality rate higher than global
Sudan,15.6,32.533333,40.04615384615385,2,11,0.15384615384615385,"Sudan: Armed groups attack protest camp in Darfur, kill 13"
Swaziland,-26.31666667,31.133333,35.2,0,1,0.0,Coronavirus: Germany under pressure to approve vaccine | News
Tanzania,-6.8,39.283333,38.554333333333346,2,13,0.13333333333333333,"Tanzania votes in election marred by violence, fears of fraud"
Togo,6.116666667,1.216667,0.0,0,0,50.0,N/A
Tunisia,36.8,10.183333,49.973684210526315,4,15,0.21052631578947367,Tunisia chemical plants causing devastating pollution
Uganda,0.316666667,32.55,45.86404761904761,6,15,0.2857142857142857,7 dead in Uganda protests after arrest of presidential candidate
Zambia,-15.41666667,28.283333,52.282500000000006,5,9,0.35714285714285715,Forget vaccines. This metal kills Covid and China’s cornered the market
Zimbabwe,-17.81666667,31.033333,51.785384615384615,3,10,0.23076923076923078,Poor Countries Begin to Buy Vaccines
British Indian Ocean Territory,-7.3,72.4,45.88972222222222,1,17,0.05555555555555555,"Thousands flee Hong Kong for UK, fearing China crackdown"
