country,latitude,longitude,magnitude,positive,negative,pos/(pos+neg),Most negative title
Somaliland,9.55,44.05,49.94786672254835,915,2664,0.25565800502933783,UNICEF condemns terrorist suicide attack in Cameroon
Western Sahara,27.153611,-13.203333,47.51061728395061,19,62,0.2345679012345679,Polisario Leader Continues to Threaten War with Morocco
Algeria,36.75,3.05,54.047555555555554,13,32,0.28888888888888886,"France’s Macron Refuses ‘Repentance or Apologies’ to Algeria for Colonization, War Brutalities"
Angola,-8.833333333,13.216667,51.12945454545455,15,40,0.2727272727272727,Angola: Investigate Past Rights Abuses
Benin,6.483333333,2.616667,48.57797297297297,6,31,0.16216216216216217,The Unknown Surrounding Case Of Missing Thomas Hughes Terrifies His Family
Botswana,-24.63333333,25.9,44.07175000000001,3,17,0.15,Putin scores victory in 'gameshow'-like vote; Myanmar mine collapse; Ethiopian singer's death sparks protests; Botswana's mysterious elephant die-off
Burkina Faso,12.36666667,-1.516667,41.422272727272734,8,25,0.24242424242424243,16 killed in Burkina Faso mosque attack
Burundi,-3.366666667,29.35,49.84394736842105,6,13,0.3157894736842105,A jobless world and China's rule of fear
Cameroon,3.866666667,11.516667,42.42961538461539,6,20,0.23076923076923078,Bus crash in western Cameroon leaves 60 dead
Cape Verde,14.91666667,-23.516667,50.476904761904756,5,16,0.23809523809523808,Italy shaken by brutal beating death of young Black man
Central African Republic,4.366666667,18.583333,50.20731707317074,14,27,0.34146341463414637,War crime suspect from Central African Republic surrendered to International Criminal Court
Chad,12.1,15.033333,52.81199999999999,18,22,0.45,Frigid fire fight: Woman killed
Comoros,-11.7,43.233333,50.38756756756756,14,23,0.3783783783783784,Belarus police attack and detain journalists amid election protests
Democratic Republic of the Congo,-4.316666667,15.3,46.23883333333334,4,26,0.13333333333333333,Militants free 900 inmates and terrorists from DR Congo prison
Republic of Congo,-4.25,15.283333,57.92499999999999,2,4,0.3333333333333333,Coronavirus in Russia: The Latest News | Feb. 13
Cote d'Ivoire,6.816666667,-5.266667,52.49367647058824,9,25,0.2647058823529412,Anger flares in Ivory Coast after election candidates barred
Djibouti,11.58333333,43.15,51.7102380952381,7,14,0.3333333333333333,Top Michigan Republican stands by Capitol riot 'hoax' comments
Egypt,30.05,31.25,52.202400000000004,12,38,0.24,Death toll from twin terrorist attack in Baghdad rose to 28
Equatorial Guinea,3.75,8.783333,52.80425,6,14,0.3,Equatorial Guinea drops charges against anti-govt cartoonist
Eritrea,15.33333333,38.933333,37.78854166666667,3,21,0.125,Geopolitics Shadow Ethiopia War
Ethiopia,9.033333333,38.7,44.130377358490556,13,40,0.24528301886792453,Over 90 civilians killed in Ethiopia attacks -ANI
Gabon,0.383333333,9.45,51.75964285714286,5,9,0.35714285714285715,Gabon's Envoy to Paris: Rebel Soldiers in Libreville Arrested - Reports
The Gambia,13.45,-16.566667,49.14975,5,15,0.25,Gambia probes 'national tragedy' as 60 nationals drown in Mauritania
Ghana,5.55,-0.216667,48.46155172413794,6,23,0.20689655172413793,"Vaccine boost for poor countries as Biden warns of '600,000 dead'"
Guinea,9.5,-13.7,50.63661764705882,8,26,0.23529411764705882,Coronavirus digest: Brussels police detain hundreds of anti-lockdown protesters
Guinea-Bissau,11.85,-15.583333,55.53523809523811,8,13,0.38095238095238093,Afghan military kills 11 Taliban terrorists in Ghazni Province
Kenya,-1.283333333,36.816667,51.11053571428572,8,20,0.2857142857142857,State Dept. event discussing racism as 'national security threat'
Lesotho,-29.31666667,27.483333,49.93291666666667,8,16,0.3333333333333333,Water crisis looms as Gauteng population grows
Liberia,6.3,-10.8,41.575370370370365,5,22,0.18518518518518517,Low Odds of Surviving Cancer in Liberia
Libya,32.88333333,13.166667,48.99974358974358,23,55,0.2948717948717949,Libyan Who Fought Against Gaddafi Denies Murder of Three Men in UK Park Was 'Religious Jihad'
Madagascar,-18.91666667,47.516667,48.70966666666667,5,25,0.16666666666666666,"At Least 15 People Killed, 75 Injured in Stampede at Madagascar Stadium - Reports"
Malawi,-13.96666667,33.783333,49.06928571428571,8,13,0.38095238095238093,Four senior Malawi officials die from Covid-19
Mali,12.65,-8,40.29659999999999,9,41,0.18,12 killed in northern Mali attack
Mauritania,18.06666667,-15.966667,39.97192307692307,2,11,0.15384615384615385,French airstrikes kill over 50 terrorists in Mali
Mauritius,-20.15,57.483333,53.048478260869565,6,17,0.2608695652173913,Mauritius Prime Minister Declares Emergency Over Fuel Leak From Japanese Bulk Carrier
Morocco,34.01666667,-6.816667,52.1405,9,21,0.3,Ghannouchi says Morocco's normalisation with Israel violates Arab consensus
Mozambique,-25.95,32.583333,40.81214285714286,5,16,0.23809523809523808,Mozambique accused of abuses in its fight against extremists
Namibia,-22.56666667,17.083333,50.38100000000001,7,13,0.35,'I am Not Like Him': Namibian Hitler Offended by Comparisons to Nazi Fuhrer
Niger,13.51666667,2.116667,41.52791666666667,4,20,0.16666666666666666,"Two dead, 16 injured as terrorists open mortar fire at Nigeria's Maiduguri"
Nigeria,9.083333333,7.533333,52.55444444444445,11,25,0.3055555555555556,"UN condemns assault on school, children's kidnappings in northern Nigeria"
Rwanda,-1.95,30.05,45.31115384615385,4,22,0.15384615384615385,Russia's virus death toll passes 63000
Saint Helena,-15.93333333,-5.716667,54.271249999999995,3,5,0.375,Loving Can Hurt Sometimes: St. Helena's Giant Tortoise Love Search Fiasco
Sao Tome and Principe,0.333333333,6.733333,54.51791666666666,6,6,0.5,"Belarusian police beat, detain, shoot at journalists"
Senegal,14.73333333,-17.633333,47.720681818181816,5,17,0.22727272727272727,Senegal capital fights shoreline developers
Seychelles,-4.616666667,55.45,50.60799999999999,10,25,0.2857142857142857,Jacksonville St. defeats E. Illinois 76-64
Sierra Leone,8.483333333,-13.233333,49.128913043478256,7,16,0.30434782608695654,"Clashes in Southeastern Guinea leave 11 dead, 30 injured"
Somalia,2.066666667,45.333333,33.680975609756096,4,37,0.0975609756097561,At least 6 people killed in suicide terror attack near Mogadishu Airport
South Africa,-25.7,28.216667,52.777840909090905,15,29,0.3409090909090909,Motorist killed in freak accident as unrest erupts over Motsepe mine closure
South Sudan,4.85,31.616667,50.575199999999995,10,15,0.4,Cargo plane crash killed 17 in South Sudan-ANI
Sudan,15.6,32.533333,44.04484375000001,7,25,0.21875,Cargo plane crash killed 17 in South Sudan
Swaziland,-26.31666667,31.133333,47.80318181818182,2,9,0.18181818181818182,"Russia, Swaziland to Cooperate in Fighting Terrorism, Joint Military Training"
Tanzania,-6.8,39.283333,46.976406250000004,6,26,0.1875,Trump's lawyers deny he encouraged violence
Togo,6.116666667,1.216667,54.70111111111111,4,5,0.4444444444444444,Togo looks for innovative ways to fight coastal erosion
Tunisia,36.8,10.183333,43.68710526315789,10,28,0.2631578947368421,"Tunisians protest against poverty, police brutality"
Uganda,0.316666667,32.55,47.66365384615385,6,20,0.23076923076923078,"The World Confronts ""Rigged"" Elections"
Zambia,-15.41666667,28.283333,50.637352941176474,5,12,0.29411764705882354,Zambian currency weakens to a record low as bondholders reject debt delay
Zimbabwe,-17.81666667,31.033333,47.55777777777777,3,24,0.1111111111111111,Road Traffic Accident in Zimbabwe Leaves 17 People Dead
British Indian Ocean Territory,-7.3,72.4,51.38712499999999,9,31,0.225,St. John's professor sues school for 'arbitrary and capricious' firing over racism claims
