Country,Company,Count
Somaliland,Sinovac,1367
Western Sahara,AstraZeneca,26
Algeria,Pfizer,15
Angola,Sputnik,15
Benin,Sputnik,6
Botswana,Pfizer,11
Burkina Faso,Pfizer,14
Burundi,AstraZeneca,14
Cameroon,Pfizer,18
Cape Verde,Sinovac,8
Central African Republic,Sputnik,14
Chad,Pfizer,21
Comoros,Sputnik,14
Democratic Republic of the Congo,Pfizer,13
Republic of Congo,Pfizer,3
Cote d'Ivoire,AstraZeneca,13
Djibouti,Sputnik,7
Egypt,Pfizer,22
Equatorial Guinea,Sputnik,6
Eritrea,AstraZeneca,4
Ethiopia,Pfizer,22
Gabon,Sputnik,5
The Gambia,Sputnik,5
Ghana,AstraZeneca,11
Guinea,Pfizer,21
Guinea-Bissau,Sputnik,8
Kenya,Pfizer,24
Lesotho,Sputnik,8
Liberia,AstraZeneca,7
Libya,AstraZeneca,23
Madagascar,Sputnik,5
Malawi,AstraZeneca,13
Mali,Sputnik,9
Mauritania,Pfizer,3
Mauritius,AstraZeneca,12
Morocco,AstraZeneca,15
Mozambique,Pfizer,5
Namibia,Sinovac,10
Niger,Pfizer,6
Nigeria,Pfizer,12
Rwanda,Pfizer,11
Saint Helena,Pfizer,6
Sao Tome and Principe,Sputnik,6
Senegal,Sinovac,6
Seychelles,Sputnik,10
Sierra Leone,Sputnik,7
Somalia,Sinovac,6
South Africa,Pfizer,31
South Sudan,Sputnik,10
Sudan,Pfizer,8
Swaziland,Sputnik,2
Tanzania,Sputnik,6
Togo,Sputnik,4
Tunisia,Sputnik,10
Uganda,Pfizer,7
Zambia,Pfizer,6
Zimbabwe,Pfizer,16
British Indian Ocean Territory,Sputnik,9
