title,desc,link,site,start date,end date,company,country,latitude,longitude,% Negative,% Neutral,% Positive,Magnitude
British scientists are developing 'universal Covid jab' to beat all variants,play_arrow,news.google.com/./articles/CAIiEGUPb0b8kVvOHsgALS9alUsqGQgEKhAIACoHCAowzuOICzCZ4ocDMN6YowY?hl=en-US&gl=US&ceid=US%3Aen,Daily Mail,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
Egyptian foreign minister on new US administration: No grounds for concern or optimism,"CAIRO: Egyptian-US relations have been close and strategic for four decades and display many aspects of cooperation, according to Foreign Minister Sameh ...",news.google.com/./articles/CAIiEFvJaTRJXFZwe7Xmm-LciGQqGAgEKg8IACoHCAowuImhCTDYnnEwtP-NAw?hl=en-US&gl=US&ceid=US%3Aen,Arab News,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,13.200000000000001,65.9,21.0,65.91
"Explainer: What Covid-19 vaccines will Africa get, when and at what cost?","Supply agreements for Covid-19 vaccines to help protect people in African countries are far from adequate, without enough doses to vaccinate enough of the ...",news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lm1vZGVybmdoYW5hLmNvbS9uZXdzLzEwNjE0MTIvZXhwbGFpbmVyLXdoYXQtY292aWQtMTktdmFjY2luZXMtd2lsbC1hZnJpY2EuaHRtbNIBXmh0dHBzOi8vd3d3Lm1vZGVybmdoYW5hLmNvbS9hbXAvbmV3cy8xMDYxNDEyL2V4cGxhaW5lci13aGF0LWNvdmlkLTE5LXZhY2NpbmVzLXdpbGwtYWZyaWNhLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,Modern Ghana,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
"Comprehensive Report on Acarbose Market 2021 | Size, Growth, Demand, Opportunities & Forecast To 2027 | Pfizer, Beijing Bayer Healthcare, Hikma Pharmaceuticals, Squibb, Emcure",Acarbose Market research report is the new statistical data source added by A2Z Market Research. “Acarbose Market is growing at a High CAGR during the ...,news.google.com/./articles/CBMiygFodHRwczovL25laWdoYm9yd2Vic2ouY29tL25ld3MvMzA1MjEzMy9jb21wcmVoZW5zaXZlLXJlcG9ydC1vbi1hY2FyYm9zZS1tYXJrZXQtMjAyMS1zaXplLWdyb3d0aC1kZW1hbmQtb3Bwb3J0dW5pdGllcy1mb3JlY2FzdC10by0yMDI3LXBmaXplci1iZWlqaW5nLWJheWVyLWhlYWx0aGNhcmUtaGlrbWEtcGhhcm1hY2V1dGljYWxzLXNxdWliYi1lbWN1cmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,NeighborWebSJ,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,5.2,69.69999999999999,25.1,84.53999999999999
U.A.E. and Israel have world's fastest vaccination programs — what can the West learn from them?,While the vaccination successes of Middle East countries such as in Israel and the United Arab Emirates can be partly explained by their small populations and ...,news.google.com/./articles/CBMiPmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL3VhZS1pc3JhZWwtdmFjY2luYXRpb24tMS41OTAzMjQ00gEgaHR0cHM6Ly93d3cuY2JjLmNhL2FtcC8xLjU5MDMyNDQ?hl=en-US&gl=US&ceid=US%3Aen,CBC.ca,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
Lebanon launches urgent vaccine rollout,BEIRUT: Lebanon has launched an urgent coronavirus vaccination rollout following the arrival of the first batch of the Pfizer-BioNTech vaccine at Beirut's Rafic ...,news.google.com/./articles/CAIiEEDsWpH1MIDZOAUrGj-KmMoqGAgEKg8IACoHCAowuImhCTDYnnEwtP-NAw?hl=en-US&gl=US&ceid=US%3Aen,Arab News,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,69.0,31.0,60.115
"Neurodegenerative Disorder Therapeutics Market Report- Drivers Like Pfizer, Inc., Novartis AG, Sanofi SA, Teva Pharmaceutical Industries Ltd. – KSU | The Sentinel Newspaper",Prominent players involved in the neurodegenerative disorder therapeutics are adopting multiple strategic partnerships with government and non- govern.,news.google.com/./articles/CBMiqwFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzEzL25ldXJvZGVnZW5lcmF0aXZlLWRpc29yZGVyLXRoZXJhcGV1dGljcy1tYXJrZXQtcmVwb3J0LWRyaXZlcnMtbGlrZS1wZml6ZXItaW5jLW5vdmFydGlzLWFnLXNhbm9maS1zLWEtdGV2YS1waGFybWFjZXV0aWNhbC1pbmR1c3RyaWVzLWx0ZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,10.299999999999999,80.2,9.5,47.42
"PD 1 PD L1 Immunotherapy Market Research Report Covers, Future Trends, Past, Present Data and Deep Analysis 2021-2027 – Bristol-Myers Squibb Company, Merck & Co., Inc., Pfizer Plc, F. Hoffmann-La Roche Ltd. – KSU | The Sentinel Newspaper","Cancer immunotherapy has significantly advanced in the past few years, and PD-1/PD-L1 immunotherapy has emerged out as one of the most prominent thera.",news.google.com/./articles/CBMi0QFodHRwczovL2tzdXNlbnRpbmVsLmNvbS8yMDIxLzAyLzEzL3BkLTEtcGQtbDEtaW1tdW5vdGhlcmFweS1tYXJrZXQtcmVzZWFyY2gtcmVwb3J0LWNvdmVycy1mdXR1cmUtdHJlbmRzLXBhc3QtcHJlc2VudC1kYXRhLWFuZC1kZWVwLWFuYWx5c2lzLTIwMjEtMjAyNy1icmlzdG9sLW15ZXJzLXNxdWliYi1jb21wYW55LW1lcmNrLWNvLWluYy1wZml6ZXItcGxjLWYtaG9mL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,KSU | The Sentinel Newspaper,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,100.0,0.0,50.0
China’s Covid-19 Vaccine Diplomacy Boosts Its Influence in Europe,Predrag Milosavljevic/Zuma Press,news.google.com/./articles/CAIiEOlgwuNFOkNfbxp4N2kTWCkqGAgEKg8IACoHCAow1tzJATDnyxUwxMrPBg?hl=en-US&gl=US&ceid=US%3Aen,The Wall Street Journal,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,77.7,22.3,65.91
Some Europeans get choosy about which vaccines they want - Egypt Independent,"As AstraZeneca shots are rolling out to European Union nations this month, joining the Pfizer and Moderna doses already available, some people are balking at ...",news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3LmVneXB0aW5kZXBlbmRlbnQuY29tL3NvbWUtZXVyb3BlYW5zLWdldC1jaG9vc3ktYWJvdXQtd2hpY2gtdmFjY2luZXMtdGhleS13YW50L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Egypt Independent,08/01/2020,09/01/2020,Pfizer,Egypt,30.05,31.25,0.0,89.4,10.6,53.86
