title,desc,date,datetime,link,img,media,site,start date,end date,primary phrase,secondary phrase,full phrase
"20 land borders will reopen on Monday, says Motsoaledi",Beit Bridge is one of the border posts that will reopen on February 15 2021.,8 hours ago,2/13/21 13:37,news.google.com/./articles/CAIiEMw21Tc98wKWJXkucFhG114qMwgEKioIACIQTEiTTGRHVJqjX49E5O90vyoUCAoiEExIk0xkR1Sao1-PROTvdL8wvcbKBg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/-q38osoYQH0wU3S2dMysHz3yUE7B50fORpxRpUv83bD0yajdPMx5zongsSjtBiFC2DvLH0SJamBzIUTdBb2DwyTP7qnRdZTnqQ=-p-df-h100-w100,,TimesLIVE,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"COVID-19 LIVE UPDATES | 'Some people say vaccinating the world is not possible, they’re wrong': Tedros Ghebreyesus","A medical worker talks to volunteers as they wait to receive an injection during the country's first human clinical trial for a potential vaccine against the novel coronavirus, at the Baragwanath hospital in Soweto, South Africa, on June 24, 2020.",14 hours ago,2/13/21 7:17,news.google.com/./articles/CAIiEIxP6IuW3tsMFU8y8BgOjjgqMwgEKioIACIQTEiTTGRHVJqjX49E5O90vyoUCAoiEExIk0xkR1Sao1-PROTvdL8wvcbKBg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/UAM0tUmKeaIbH3MAY_Afq2vcPUgPFJ6-5H0l_pVOX00aJKZwYeJP_C7tVtTBjZ1atcYfY4kTyEhKiiCg16Sgq4yjtFJ_U0vJ4J4=-p-df-h100-w100,,TimesLIVE,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Can AstraZeneca Still Cure Africa's Vaccine Woes?,COVID-19 vaccination efforts in Africa suffered a potentially serious blow after a vaccine developed by Oxford University and AstraZeneca demonstrated only ...,Yesterday,2/12/21 20:48,news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LndvcmxkcG9saXRpY3NyZXZpZXcuY29tL3RyZW5kLWxpbmVzLzI5NDI0L2Nhbi1hc3RyYXplbmVjYS1zdGlsbC1jdXJlLWFmcmljYS1zLXZhY2NpbmUtd29lc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/qtMn7ri4iI6XKOh48bH8O7AzUeCrcl4al60gkJgwd_lxIFPhUoGBsl_btlMJhXNd45Pi6kIg7CIay7MXA4fsgoVzhLuKOsGUYLXpZ0NORdQttjruy5Bes-LRQeGcQM5rHGdBXXbG2vuBZFLgPMylx74_sQ0=-p-df-h100-w100,,World Politics Review,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"Coronavirus: 921 new cases, 23 deaths reported as 4,931 more vaccine doses given","'Rate of transmission still extremely high and risks to our vulnerable have not changed,' says Glynn.",Yesterday,2/12/21 18:33,news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmlyaXNodGltZXMuY29tL25ld3MvaGVhbHRoL2Nvcm9uYXZpcnVzLTkyMS1uZXctY2FzZXMtMjMtZGVhdGhzLXJlcG9ydGVkLWFzLTQtOTMxLW1vcmUtdmFjY2luZS1kb3Nlcy1naXZlbi0xLjQ0ODM0MTDSAYgBaHR0cHM6Ly93d3cuaXJpc2h0aW1lcy5jb20vbmV3cy9oZWFsdGgvY29yb25hdmlydXMtOTIxLW5ldy1jYXNlcy0yMy1kZWF0aHMtcmVwb3J0ZWQtYXMtNC05MzEtbW9yZS12YWNjaW5lLWRvc2VzLWdpdmVuLTEuNDQ4MzQxMD9tb2RlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/GjYt1CkZ3FH4eikmgK1HY0LlrFcd5t8abyVMuFIvwug0zmVAAD-IM5BX-q_EACiQOWfWhbHyd-0X3TNtpbRUbFW8Y9sNbNVE2qpecMfSgGOdBXCxby7ZWsJNFVtz6ZT7WutfZQ_UgvSxUHNXrd-I3uj29MxrO8XPzueP9CPt-QaPgleOxt3CpKlTGP--stmYUg=-p-df-h100-w100,,The Irish Times,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"Vaccination rollout in nursing homes almost complete, HSE says",Nphet warns it could be six weeks before the number of Covid-19 cases drops below 100 a day.,Yesterday,2/12/21 15:26,news.google.com/./articles/CAIiELvzB9TjbDzYIWebAz5hR40qGQgEKhAIACoHCAowqfqFCzD7v4MDMIO9jQY?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/S7muldj2Dt-CL8-12rTK0YYqE4ajQBSMsmmmyY4FYynVm7WdmagKz0gKDstQSFYAyzC3ySeYtFiR65nxPoY=-p-df-h100-w100,,The Irish Times,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Time for a hesitancy reality check,There has been much negative thought and talk surrounding these Covid-19 vaccines. Conspiracy theories such as Bill Gates wanting to monitor our every ...,Yesterday,2/12/21 12:00,news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnJveWFsZ2F6ZXR0ZS5jb20vb3Bpbmlvbi13cml0ZXIvb3Bpbmlvbi9hcnRpY2xlLzIwMjEwMjEyL3RpbWUtZm9yLWEtaGVzaXRhbmN5LXJlYWxpdHktY2hlY2sv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/uDhy4vFIPMbZfdMWpOTp44FVsc4NK9Ob8HmIFjdvFrq6hZvjurvunEr_bA3RtZ4FeP1OxfA_qAfMymiMJzXO5e-vo2RcbUhvuGd17KRWZWVpYPXQT9bFl8B0UedjkZJw55bw_ILWqAV_pSgIgwJBD7fMtOymbEmko0uBos7ml9L8d59cyWg9zc84mgZmX4XToiZkXYYA_GOIqUWEAywCe0Ea_t_L8NpYlCaDNVY=-p-df-h100-w100,,Royal Gazette,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Next Africa: AstraZeneca's Vaccine Findings Set Back a Continent,"Welcome to Next Africa, a weekly newsletter of where the continent stands now — and where it's going next.",Yesterday,2/12/21 11:11,news.google.com/./articles/CAIiEJ5yRJUSK0TljcwAJ3Wevg8qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/K9SumK237JC-a0WUc85Dl1RRJ939s77tYl-b4KYei_bNzuuRmhI8fjbLChCC09fWjxmArF3zV1G6mvQZDL2u=-p-df-h100-w100,,Bloomberg,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
No uptick in credit demand yet,Survey suggests government is clueless on growing private sector,2 days ago,2/11/21 13:37,news.google.com/./articles/CAIiENxzz1k9y6AqyxrRT3U3o0cqGAgEKg8IACoHCAowi4O1ATD18Qwwm5bQBQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/UJDG2VPIvHbS03_qgvZpAzeaZ45x5YWBGII2zNzRSLqYc4mKJA8G82VM9qK45yb74BCW9lLBE-MDYyoRkvU=-p-df-h100-w100,,Namibia Economist,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Medical aid funds to foot vaccine bill,"MEDICAL aid funds will pay for the Covid-19 vaccine on behalf of their members, said Namibian Association of Medical Aid Funds (Namaf) chief executive ...",2 days ago,2/11/21 10:05,news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODg0Mi9yZWFkL01lZGljYWwtYWlkLWZ1bmRzLXRvLWZvb3QtdmFjY2luZS1iaWxs0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/kotAmGJ63jjbnltbbfX91I-iDNmh4CSNIITq6T6OPbuOdkhqgX4e4ZQ1snxMoLWEZsIcbgqE-HhqNjYd_xjJzNGlil8clXS5ioJGmIQSNwvrQZg9hkyvaDT0ugHzJRkFbP7Q3s-4mK_dwwU=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Five countries that could be added to the UK 'red list',"The spread of the variants – confirmed, suspected and hypothetical – is key.",3 days ago,2/10/21 14:49,news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LnRlbGVncmFwaC5jby51ay90cmF2ZWwvbmV3cy9maXZlLWNvdW50cmllcy1jb3VsZC1hZGRlZC11ay1yZWQtbGlzdC_SAVNodHRwczovL3d3dy50ZWxlZ3JhcGguY28udWsvdHJhdmVsL25ld3MvZml2ZS1jb3VudHJpZXMtY291bGQtYWRkZWQtdWstcmVkLWxpc3QvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/W2JqYWbbFAzIZd_W9-LFOLToOL7ErUGY1sp9IRZUiaffKihFKodcnYgs8N3U_29YwscKkFMeEYcdQaAN6k42NcAYxDpU1BFSdPFnqMG9SCUaFYa-jdCExy7jJQf51dUit6PuEkxwXTx9DGfTLjhPPvdvAy_FrDpVxsduW2KD3feI6Wr2-ry8wUiMIuZ9BkFi5qE7H5RC8fyDPu3R1BQgUw_b6pKr1UF6=-p-df-h100-w100,,Telegraph.co.uk,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
