country,pfizer,ptitle,astrazeneca,atitle,sputnik,stitle
Somaliland,45.58461957,US court clears way for torture lawsuit against alleged Somali war criminal,50.0068866,UNICEF condemns terrorist suicide attack in Cameroon,49.682978,UNICEF condemns terrorist suicide attack in Cameroon
Western Sahara,53.58423077,Military Tensions Rise in Morocco-Polisario Western Sahara Conflict,51.906875,A Stalled Conflict in Sahara Risks Reigniting as Trade Blocked,47.63865854,Polisario Leader Continues to Threaten War with Morocco
Algeria,55.22028302,Algeria trial over French mountaineer's murder postponed,53.6904167,Several killed in road accident in Algeria,55.15608696,"France’s Macron Refuses ‘Repentance or Apologies’ to Algeria for Colonization, War Brutalities"
Angola,48.40758065,Angola: Teen killed by soldier during coronavirus mask operation,55.4537143,"AstraZeneca, UNICEF enlist youth leaders to fight noncommunicable diseases",50.98901786,Angola: Investigate Past Rights Abuses
Benin,50.4606,Covid-19: The pandemic heightens food insecurity in Benin,48.7634091,Search For Missing Person In Stockton Waterway,47.91837838,The Unknown Surrounding Case Of Missing Thomas Hughes Terrifies His Family
Botswana,47.86814286,South Africa forced to overhaul vaccine plan over variant fears,49.3357143,Merck and AstraZeneca's Cancer Drug Wins 3 New Approvals in Japan,42.57325,Canada allots USD 1.1 million to fight COVID-19 misinformation
Burkina Faso,52.09052083,EU regulator: Hackers 'manipulated' stolen vaccine documents,41.8987179,Burkina Faso army kills 13 terrorists,44.48,"Terrorists kill 39 in Burkina Faso, NRC warns of looming displacement crisis"
Burundi,46.2675,DR Congo army says Burundi rebels forced from strongholds,47.3162222,Burundi rebel group claims attacks in new offensive,50.14894737,A jobless world and China's rule of fear
Cameroon,42.375,UNICEF condemns terrorist suicide attack in Cameroon,40.0877778,Cameroon: 4 civilians dead in Boko Haram attacks,43.43383333,Bus crash in western Cameroon leaves 60 dead
Cape Verde,50.236875,COVID-19 vaccine: WHO denies disqualifying Nigeria,50.165,COVID-19 threatening development gains in Cape Verde,53.55869565,Italy shaken by brutal beating death of young Black man
Central African Republic,48.1444186,Central African Republic declares state of emergency to combat rebels,45.9621951,UN condemns rebel attacks in Central African Republic,47.23638889,Troll wars
Chad,54.01902778,Arizona Senate panel OKs new hurdles against pandemic liability lawsuits,58.3158571,COVID-19: Difficult trade-offs in AstraZeneca vaccine development,54.68228571,Pennsylvania Prosecutor Faces Charges of Raping at Least Five Women While Private Lawyer
Comoros,55.0575,Pfizer Stock: A Top Bet for 2021?,50,Comorian FM inaugurates embassy in Rabat | Saad Guerraoui,50.51585714,Belarus police attack and detain journalists amid election protests
Democratic Republic of the Congo,51.16166667,FBI warns of COVID-19 vaccine scams,53.1430769,China cancels DR Congo's debt,49.81068966,Militants free 900 inmates and terrorists from DR Congo prison
